Category,Keyword,Response
Positive,On task,I can concentrate well and stay on task most of the time
Positive,Clear-minded,I think clearly and make good decisions at work
Positive,Alert,I stay mentally alert and process information well
Positive,Sharp,"My thinking is sharp, and I don’t feel mentally sluggish"
Positive,Sharp memory,I have a sharp memory and remember details well
Positive,Alert,I stay alert and aware of my tasks at all times
Positive,Focused,I rarely get distracted and can focus for long periods
Positive,Good focus,I can concentrate well and complete my work efficiently
Positive,Productive,I stay productive and focused throughout the day
Positive,Attentive,I remain attentive and engaged in my tasks
Positive,Few errors,I make very few mistakes because I stay focused
Positive,On task,"I rarely get distracted, which helps me work accurately"
Positive,Accurate,My work is usually accurate because I pay close attention to detail
Positive,Emotionally stable,I stay emotionally stable even in stressful situations
Positive,Calm,I remain calm and composed throughout the workday
Positive,Balanced,I have a good emotional balance and rarely feel overwhelmed
Positive,Self-aware,I am self-aware and understand my emotional reactions at work
Positive,Emotionally balanced,I manage my emotions well and rarely feel overwhelmed
Positive,Stable,"My emotional state is stable, and I remain in control"
Positive,Patient,I remain patient even when things don’t go as expected at work
Positive,Flexible,I can adjust easily to unexpected changes at work
Positive,Adaptable,I stay calm and adapt to situations even when challenges arise
Positive,Emotionally balanced,I generally feel emotionally balanced and content at work
Positive,Stable,"My mood at work is stable, and I don’t experience unexplained sadness"
Positive,Positive,I feel positive about my work environment and my role
